country,select_item,add_to_cart,begin_checkout,add_shipping,add_payment,purchase
Uruguay,81.8182,22.7273,4.5455,4.5455,4.5455,4.5455
Bolivia,80.6452,9.6774,3.2258,3.2258,3.2258,3.2258
Mexico,79.7521,13.2231,4.1322,3.3058,2.8926,2.4793
Peru,84.5455,10.0,2.7273,2.7273,1.8182,1.8182
Argentina,75.0,8.75,4.375,1.875,1.875,1.25
Chile,78.3505,17.5258,8.2474,3.0928,2.0619,1.0309
Brazil,72.6027,8.9041,2.3973,1.3699,1.3699,0.6849
Ecuador,74.5763,10.1695,5.0847,1.6949,1.6949,0.0
Colombia,76.3636,9.697,4.8485,3.0303,2.4242,0.0
Paraguay,71.4286,9.5238,0.0,0.0,0.0,0.0
